Age,Income,Gender,Spend_Score,Education,City,Purchased
21,136335,Female,20,PhD,Delhi,1
28,140726,Female,48,High School,Bangalore,1
34,74316,Male,71,PhD,Mumbai,1
55,25520,Female,54,High School,Mumbai,1
41,129814,Female,78,PhD,Delhi,1
22,56455,Female,75,Bachelors,Delhi,1
69,135284,Male,71,Masters,Delhi,1
51,106465,Male,29,High School,Chennai,0
23,143364,Male,74,High School,Kolkata,0
39,61605,Male,93,Masters,Bangalore,1
28,34955,Female,73,High School,Mumbai,1
65,64049,Female,48,Masters,Mumbai,0
33,33917,Male,74,Bachelors,Kolkata,1
50,90293,Male,83,PhD,Delhi,0
26,98581,Female,56,Bachelors,Delhi,0
23,139072,Female,95,PhD,Mumbai,0
33,84925,Male,17,Masters,Kolkata,0
46,127216,Male,9,Bachelors,Mumbai,0
20,90269,Male,97,PhD,Delhi,1
37,50954,Male,34,Masters,Bangalore,1
53,116671,Female,45,PhD,Delhi,1
36,92617,Male,88,High School,Bangalore,0
43,61458,Male,9,High School,Chennai,1
20,109037,Female,7,Masters,Kolkata,0
36,41113,Female,16,PhD,Chennai,0
37,119977,Female,19,High School,Delhi,1
49,132622,Female,6,Bachelors,Kolkata,0
24,145947,Female,11,PhD,Delhi,0
69,110226,Male,76,PhD,Kolkata,0
58,63939,Male,61,High School,Kolkata,1
50,49345,Male,42,High School,Delhi,0
57,144616,Female,13,Masters,Delhi,1
56,66313,Male,12,PhD,Kolkata,1
35,130107,Female,85,Bachelors,Kolkata,1
57,141866,Male,74,High School,Delhi,1
18,112365,Male,20,PhD,Delhi,0
28,120598,Female,50,High School,Mumbai,0
45,89166,Female,36,Masters,Mumbai,0
42,67861,Male,92,PhD,Mumbai,0
67,117406,Male,88,PhD,Chennai,1
40,69298,Male,69,Masters,Kolkata,0
48,67221,Male,37,Bachelors,Bangalore,0
47,64942,Male,12,High School,Chennai,1
59,23453,Female,99,Masters,Kolkata,1
52,122811,Female,40,PhD,Bangalore,1
24,74935,Female,54,Masters,Mumbai,1
33,142439,Female,2,PhD,Bangalore,1
43,63370,Male,50,Masters,Delhi,1
65,123932,Male,41,Bachelors,Delhi,0
69,28328,Female,45,PhD,Kolkata,1
66,35534,Male,9,Masters,Chennai,0
19,105280,Female,62,Bachelors,Mumbai,0
18,104925,Male,86,Bachelors,Kolkata,0
65,56320,Male,47,High School,Mumbai,1
29,69170,Male,5,PhD,Delhi,1
22,120546,Female,76,High School,Chennai,0
54,100201,Female,1,Bachelors,Chennai,0
49,148935,Female,44,High School,Delhi,1
26,141006,Female,22,High School,Bangalore,1
58,123401,Male,38,Masters,Chennai,0
52,28640,Male,19,High School,Bangalore,0
36,120252,Male,80,Bachelors,Mumbai,1
65,111057,Male,31,High School,Chennai,0
33,50049,Female,67,PhD,Delhi,1
20,25618,Male,87,Masters,Bangalore,0
37,122540,Male,42,Bachelors,Mumbai,0
41,76053,Male,82,High School,Mumbai,0
50,21920,Female,26,PhD,Chennai,0
41,63937,Female,13,Bachelors,Chennai,0
69,89724,Female,58,High School,Kolkata,0
28,32207,Male,18,Masters,Kolkata,1
66,85774,Female,67,High School,Chennai,0
25,52972,Male,87,Bachelors,Kolkata,1
53,30799,Male,3,Bachelors,Delhi,0
55,91088,Male,55,Bachelors,Delhi,1
57,48916,Female,89,PhD,Kolkata,0
37,90463,Female,91,High School,Chennai,0
52,113500,Male,58,High School,Delhi,0
65,96700,Male,63,High School,Mumbai,0
42,57158,Female,91,Masters,Chennai,1
52,104607,Female,52,PhD,Bangalore,1
42,139639,Female,89,PhD,Bangalore,1
46,133945,Male,24,Masters,Chennai,0
35,91696,Male,72,PhD,Kolkata,1
63,81510,Male,9,Masters,Delhi,1
35,140076,Female,37,Bachelors,Delhi,1
19,78692,Female,94,Bachelors,Chennai,1
52,81744,Female,83,PhD,Mumbai,0
33,35810,Male,53,Bachelors,Kolkata,0
58,25126,Male,80,Bachelors,Mumbai,0
53,50009,Female,24,Bachelors,Chennai,1
50,119120,Male,21,High School,Chennai,0
21,131718,Female,40,Bachelors,Mumbai,1
50,110932,Male,62,High School,Bangalore,0
31,20192,Female,70,Masters,Chennai,0
38,136464,Male,69,Masters,Kolkata,0
65,56413,Male,14,Masters,Mumbai,0
37,32816,Female,42,Masters,Bangalore,1
25,59082,Female,50,Masters,Mumbai,0
24,85048,Female,61,Bachelors,Bangalore,1
20,143130,Female,4,Bachelors,Bangalore,0
34,70940,Female,72,Bachelors,Kolkata,0
50,52130,Male,88,Masters,Chennai,1
65,60142,Female,75,Masters,Bangalore,0
29,149564,Female,17,High School,Chennai,1
68,56468,Female,85,PhD,Kolkata,1
39,50698,Male,57,Bachelors,Chennai,1
39,30655,Female,90,PhD,Delhi,0
63,67897,Female,48,Masters,Bangalore,0
47,50075,Female,44,Masters,Kolkata,1
55,29359,Male,45,Masters,Mumbai,1
55,149048,Male,91,PhD,Kolkata,1
62,122197,Female,80,High School,Bangalore,0
68,125115,Male,90,Masters,Kolkata,0
25,62056,Female,33,High School,Mumbai,0
44,71831,Male,31,High School,Delhi,1
44,79191,Female,47,Bachelors,Bangalore,0
51,138592,Male,6,PhD,Bangalore,0
38,141948,Female,72,Masters,Kolkata,1
47,53272,Female,71,High School,Chennai,0
50,128117,Male,34,PhD,Chennai,0
45,34671,Female,53,PhD,Mumbai,0
64,47048,Female,14,Masters,Delhi,0
50,96274,Female,16,Bachelors,Delhi,0
22,45963,Female,43,Bachelors,Kolkata,0
65,63954,Male,73,High School,Kolkata,0
36,92309,Female,74,Bachelors,Chennai,0
21,122120,Male,81,Bachelors,Delhi,0
52,115430,Male,12,Bachelors,Delhi,1
66,20717,Male,70,PhD,Delhi,0
34,31676,Male,19,Masters,Mumbai,0
61,24434,Female,41,PhD,Mumbai,0
45,69810,Female,53,PhD,Kolkata,0
47,123361,Male,29,Masters,Chennai,0
46,138696,Female,70,PhD,Bangalore,0
63,114636,Male,59,High School,Chennai,1
23,24994,Female,89,High School,Mumbai,0
52,24234,Female,64,PhD,Mumbai,1
58,89300,Female,24,Bachelors,Kolkata,0
54,63949,Male,89,PhD,Bangalore,0
41,57405,Male,16,Bachelors,Delhi,0
46,54872,Female,52,PhD,Bangalore,1
66,62215,Male,80,High School,Bangalore,0
63,43185,Male,6,Bachelors,Bangalore,0
48,63442,Female,37,High School,Kolkata,0
52,143263,Male,85,PhD,Mumbai,0
50,71759,Female,4,Masters,Delhi,1
69,61153,Female,98,Bachelors,Bangalore,0
38,97535,Female,92,Bachelors,Delhi,1
49,122023,Male,38,PhD,Bangalore,1
40,22581,Female,41,PhD,Mumbai,0
50,71717,Female,92,Bachelors,Delhi,0
20,22763,Male,81,Masters,Chennai,1
35,112910,Male,14,PhD,Mumbai,0
42,75480,Male,71,PhD,Delhi,0
59,58759,Male,86,PhD,Bangalore,1
48,96067,Female,51,Masters,Bangalore,1
20,138094,Male,65,Bachelors,Mumbai,1
57,45307,Male,93,High School,Mumbai,1
63,116371,Male,52,PhD,Bangalore,0
41,31064,Male,95,Masters,Delhi,0
67,96848,Female,30,Bachelors,Chennai,0
49,57548,Male,57,Bachelors,Kolkata,1
64,56945,Female,79,Masters,Mumbai,1
39,67937,Male,82,PhD,Bangalore,0
40,26476,Female,99,High School,Delhi,0
19,71756,Female,30,PhD,Mumbai,0
44,110101,Male,98,Bachelors,Delhi,1
59,22382,Female,42,High School,Mumbai,0
19,69683,Male,11,PhD,Bangalore,0
43,107999,Female,27,High School,Delhi,1
34,65276,Female,24,Masters,Bangalore,1
57,53402,Female,99,PhD,Delhi,0
50,111881,Male,39,Bachelors,Mumbai,1
26,130300,Female,72,Bachelors,Kolkata,0
60,46946,Male,18,High School,Kolkata,0
65,99698,Female,77,Masters,Chennai,0
56,134690,Female,45,PhD,Chennai,1
46,132309,Female,88,Masters,Bangalore,1
59,93933,Female,87,Masters,Delhi,0
43,42335,Female,12,High School,Chennai,1
52,65095,Female,49,High School,Mumbai,0
67,99930,Male,94,PhD,Kolkata,1
42,149974,Male,31,Bachelors,Delhi,1
41,47197,Male,92,PhD,Kolkata,0
30,147619,Female,22,Masters,Delhi,0
24,42010,Male,44,High School,Chennai,1
53,44123,Female,92,Masters,Chennai,0
62,107923,Male,64,High School,Bangalore,1
37,22890,Male,77,Bachelors,Delhi,0
18,113305,Female,25,Masters,Mumbai,1
25,129162,Female,51,High School,Chennai,0
63,140927,Male,7,PhD,Bangalore,0
33,28026,Male,6,PhD,Chennai,0
31,84925,Male,24,PhD,Kolkata,1
29,88842,Male,19,Masters,Chennai,0
68,53665,Female,83,High School,Delhi,0
40,29277,Male,9,High School,Bangalore,1
32,62239,Female,36,High School,Delhi,1
45,67664,Female,40,Masters,Mumbai,0
51,68008,Male,93,High School,Mumbai,1
19,34683,Female,24,Bachelors,Chennai,1
49,20670,Male,48,Masters,Bangalore,0
40,109211,Female,63,Bachelors,Bangalore,0
39,37889,Female,69,Bachelors,Bangalore,1
68,75612,Male,53,PhD,Bangalore,1
42,64535,Female,54,Masters,Chennai,0
39,98542,Female,42,High School,Delhi,0
39,74319,Male,45,Bachelors,Chennai,0
66,134072,Female,90,Masters,Delhi,0
69,112067,Female,14,High School,Kolkata,0
59,41639,Male,29,PhD,Kolkata,0
23,84712,Male,6,Masters,Delhi,1
32,36633,Female,7,Masters,Chennai,1
60,141145,Female,37,Masters,Mumbai,0
54,54660,Female,53,High School,Chennai,0
50,88975,Male,18,Bachelors,Mumbai,0
25,52172,Female,87,Bachelors,Chennai,0
61,79197,Female,38,Masters,Bangalore,1
61,121158,Female,59,Masters,Bangalore,1
22,78847,Female,1,High School,Kolkata,0
56,31577,Female,68,PhD,Kolkata,0
21,97299,Female,44,Masters,Delhi,0
23,40176,Male,47,Masters,Mumbai,1
62,64386,Male,35,PhD,Bangalore,0
49,83972,Female,87,Masters,Chennai,1
69,140018,Female,91,Bachelors,Delhi,1
47,109791,Male,60,Masters,Chennai,0
64,61003,Male,90,Bachelors,Bangalore,1
52,39996,Male,52,High School,Bangalore,1
57,120922,Female,8,High School,Bangalore,1
69,106598,Female,80,Bachelors,Bangalore,1
33,55931,Female,41,Bachelors,Chennai,0
30,144168,Female,3,PhD,Delhi,0
67,55710,Male,96,Bachelors,Bangalore,1
59,143099,Male,69,Bachelors,Kolkata,1
47,54693,Male,84,Masters,Delhi,1
36,55740,Male,14,PhD,Kolkata,0
34,97241,Female,96,Bachelors,Chennai,1
36,128944,Female,26,Bachelors,Bangalore,0
45,113583,Male,70,Bachelors,Delhi,0
43,96502,Male,58,Masters,Bangalore,0
54,37374,Male,40,Masters,Bangalore,0
43,96674,Male,51,Masters,Delhi,0
40,136500,Male,5,High School,Bangalore,1
26,101471,Female,77,Masters,Bangalore,0
29,65913,Female,32,Bachelors,Mumbai,0
18,143683,Male,80,Masters,Mumbai,0
18,86025,Male,1,Masters,Delhi,0
64,64516,Male,77,PhD,Delhi,1
51,107796,Female,54,Bachelors,Bangalore,0
49,46069,Female,11,Masters,Kolkata,0
65,138333,Female,53,High School,Delhi,1
42,76233,Male,8,PhD,Bangalore,1
57,104811,Female,25,Masters,Kolkata,1
62,79049,Male,40,PhD,Mumbai,1
18,121820,Female,32,PhD,Delhi,1
33,138028,Female,88,High School,Bangalore,0
56,59178,Female,28,High School,Mumbai,1
22,52821,Male,78,High School,Chennai,1
39,71727,Male,3,Bachelors,Mumbai,0
46,80935,Female,91,PhD,Bangalore,1
20,36999,Male,84,Masters,Kolkata,1
29,82522,Male,79,High School,Chennai,0
43,58712,Male,62,High School,Chennai,0
33,84551,Male,27,PhD,Chennai,1
68,60172,Male,45,PhD,Delhi,0
54,53722,Male,92,PhD,Bangalore,0
39,30625,Male,25,Masters,Chennai,1
46,87165,Female,61,Bachelors,Mumbai,0
31,96509,Male,44,Bachelors,Kolkata,0
45,26859,Male,97,High School,Bangalore,1
22,61609,Female,46,Bachelors,Mumbai,1
64,63307,Female,14,Masters,Delhi,0
66,130986,Female,8,Bachelors,Chennai,1
47,121582,Female,48,Masters,Mumbai,0
63,41839,Male,14,High School,Bangalore,0
69,47216,Female,65,PhD,Mumbai,0
22,72953,Female,80,Masters,Delhi,1
29,104481,Male,82,PhD,Kolkata,0
33,80593,Male,7,High School,Chennai,0
43,92075,Male,79,Masters,Bangalore,1
43,69522,Female,88,Masters,Chennai,0
65,119161,Male,49,Bachelors,Chennai,1
38,24886,Female,55,Masters,Chennai,0
56,131249,Male,13,High School,Mumbai,1
53,27485,Male,73,PhD,Mumbai,0
50,51455,Female,56,Masters,Kolkata,0
47,131984,Male,56,High School,Delhi,0
54,36767,Male,15,High School,Bangalore,1
40,132701,Male,57,Masters,Mumbai,1
27,48453,Male,58,Bachelors,Chennai,0
22,96280,Male,35,Masters,Delhi,1
53,122638,Female,88,Masters,Bangalore,0
51,73442,Female,97,Bachelors,Bangalore,1
69,71877,Male,16,High School,Bangalore,1
48,32226,Female,8,Masters,Bangalore,1
27,113405,Female,93,Bachelors,Kolkata,1
36,42588,Female,87,PhD,Bangalore,1
49,98976,Male,45,PhD,Delhi,0
18,51709,Male,95,Bachelors,Mumbai,1
22,67788,Male,40,High School,Delhi,1
62,108031,Female,54,Bachelors,Chennai,1
21,57019,Female,14,High School,Kolkata,0
33,64948,Male,59,PhD,Kolkata,0
41,85133,Male,94,Masters,Chennai,0
33,134444,Female,53,Bachelors,Delhi,1
19,86458,Female,27,PhD,Delhi,0
66,137603,Male,47,Masters,Chennai,0
45,47526,Female,80,PhD,Bangalore,0
49,93493,Female,6,Bachelors,Bangalore,0
44,148585,Female,55,Bachelors,Mumbai,0
37,72198,Female,97,Masters,Delhi,0
41,134100,Female,44,Bachelors,Delhi,1
29,143854,Female,18,PhD,Chennai,1
67,119534,Female,16,Masters,Chennai,0
52,63395,Male,12,Masters,Bangalore,1
50,44031,Male,20,PhD,Delhi,1
50,95542,Female,45,High School,Delhi,0
68,145814,Female,64,Masters,Kolkata,0
60,57701,Female,59,High School,Mumbai,1
54,132599,Male,93,PhD,Mumbai,0
29,45939,Male,94,PhD,Bangalore,1
20,69145,Female,90,Masters,Delhi,0
18,40324,Male,22,Bachelors,Kolkata,0
50,42867,Female,97,Masters,Delhi,1
57,20203,Female,47,Bachelors,Chennai,0
27,36544,Female,29,High School,Bangalore,1
60,35899,Female,86,Bachelors,Mumbai,0
61,49063,Female,45,Masters,Delhi,0
46,110880,Female,77,Bachelors,Bangalore,0
30,23748,Female,9,PhD,Mumbai,0
29,125022,Male,24,High School,Delhi,0
48,137269,Female,15,PhD,Kolkata,0
63,86629,Male,36,PhD,Bangalore,0
19,100764,Female,13,PhD,Delhi,1
68,40884,Female,91,PhD,Mumbai,0
67,45183,Male,44,Bachelors,Mumbai,1
52,101570,Male,71,PhD,Kolkata,0
40,91246,Female,72,Bachelors,Bangalore,0
34,128036,Male,78,PhD,Bangalore,1
43,39259,Female,76,Masters,Delhi,0
25,55959,Female,36,PhD,Mumbai,0
46,136525,Male,61,Masters,Mumbai,0
43,53457,Male,81,Bachelors,Kolkata,1
27,105679,Male,40,High School,Kolkata,1
43,145829,Male,93,Bachelors,Bangalore,0
51,148216,Female,27,High School,Mumbai,0
68,22103,Male,1,High School,Delhi,1
58,85901,Male,34,PhD,Chennai,0
24,132314,Male,68,High School,Delhi,0
21,64535,Male,88,Bachelors,Kolkata,0
67,36103,Male,21,PhD,Delhi,0
62,118046,Female,33,High School,Mumbai,0
28,110012,Female,7,Bachelors,Bangalore,1
46,98278,Male,65,High School,Chennai,0
53,32391,Male,3,High School,Bangalore,0
42,122476,Female,51,PhD,Chennai,1
38,48901,Male,79,PhD,Chennai,0
53,140721,Female,95,Bachelors,Mumbai,0
27,117537,Female,54,PhD,Mumbai,0
54,101159,Male,80,PhD,Kolkata,1
26,87914,Female,74,Masters,Kolkata,0
41,70357,Male,93,Masters,Chennai,0
52,106908,Male,59,Bachelors,Kolkata,1
66,130335,Female,6,PhD,Mumbai,1
52,58437,Female,29,Bachelors,Kolkata,1
65,55503,Male,17,Masters,Chennai,0
53,116282,Female,60,Masters,Bangalore,0
35,113459,Male,22,Masters,Delhi,0
66,95403,Female,24,Bachelors,Kolkata,0
56,61258,Female,81,PhD,Mumbai,1
49,53724,Male,85,High School,Bangalore,0
41,84286,Male,51,PhD,Mumbai,1
40,94842,Male,50,Bachelors,Kolkata,0
49,124927,Female,11,Masters,Chennai,0
54,34908,Male,56,High School,Delhi,1
29,112617,Male,71,Bachelors,Delhi,0
66,70626,Female,42,Masters,Bangalore,1
30,57228,Female,39,Bachelors,Delhi,1
40,43386,Male,69,High School,Chennai,0
42,66754,Male,48,Masters,Mumbai,0
52,130942,Male,57,PhD,Chennai,0
58,48302,Male,21,Bachelors,Bangalore,1
47,80815,Female,82,High School,Bangalore,0
34,141084,Female,99,PhD,Delhi,1
66,104748,Male,20,High School,Chennai,0
37,83344,Male,15,Bachelors,Mumbai,1
65,55618,Male,69,High School,Chennai,1
42,131603,Female,77,Masters,Mumbai,0
39,96234,Male,51,High School,Mumbai,0
30,81114,Male,76,Bachelors,Chennai,0
36,137652,Female,62,Masters,Kolkata,0
66,90130,Female,85,High School,Chennai,0
